id|alternative_ids|label|source|source_url|synonyms|term_name
uberon_0011162||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""non-squamous part of supraoccipital bone"", ""supra-occipital cartilage condensation"", ""supraoccipital cartilage condensation""]"|supraoccipital cartilage element
go_0021554||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""CN II development"", ""cranial nerve 2 development"", ""cranial nerve II development""]"|optic nerve development
uberon_0005658||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""palatal shelf epithelium""]"|secondary palatal shelf epithelium
uberon_0004313||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""4th digit of hand distal phalanx"", ""4th finger distal phalanx"", ""distal phalanx of 4th digit of hand"", ""distal phalanx of 4th finger"", ""distal phalanx of fourth digit of hand"", ""distal phalanx of fourth finger"", ""distal phalanx of manual digit IV"", ""distal phalanx of ring finger"", ""fourth distal phalanx of hand"", ""fourth finger distal phalanx"", ""hand digit 4 distal phalanx""]"|distal phalanx of manual digit 4
uberon_0010347||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""branchial arch 6 mesenchyme from head mesenchyme"", ""head mesenchyme derived arch 6 mesenchyme"", ""pharyngeal arch 6 mesenchyme from head mesenchyme""]"|6th arch mesenchyme from head mesenchyme
uberon_0010912||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""subdivision of skeleton (in vivo)"", ""skeletal subdivision""]"|subdivision of skeleton
go_0002608||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""down regulation of myeloid dendritic cell antigen processing and presentation"", ""down-regulation of myeloid dendritic cell antigen processing and presentation"", ""downregulation of myeloid dendritic cell antigen processing and presentation""]"|negative regulation of myeloid dendritic cell antigen processing and presentation
chebi_35406|"[""CHEBI:33274"", ""CHEBI:33436""]"|uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""oxoacid anions"", ""oxoanions"", ""oxoanion""]"|oxoanion
go_0061296||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""negative regulation of mesenchymal stem cell apoptotic process involved in mesonephric nephron morphogenesis""]"|negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis
go_0050935||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""iridophore cell differentiation""]"|iridophore differentiation
uberon_0007125||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""fourth pharyngeal pouch"", ""4th arch branchial pouch"", ""4th arch branchial pouch endoderm"", ""4th branchial pouch"", ""4th pharyngeal pouch endoderm"", ""fourth arch pharyngeal pouch"", ""fourth branchial pouch"", ""fourth visceral pouch"", ""pharyngeal pouches 4"", ""visceral pouch 4""]"|pharyngeal pouch 4
chebi_26214||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""porphyrins""]"|porphyrins
go_0036345||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||platelet maturation
uberon_0036285||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""left ventricular wall""]"|wall of left ventricle
go_0048733||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||sebaceous gland development
uberon_2001751||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""fifth pleural rib""]"|rib of vertebra 5
ubprop_0000100||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||is count of
uberon_0014691||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""pyloric vein"", ""vena gastrica dextra""]"|right gastric vein
uberon_0008437||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""arcus posterior"", ""posterior arch"", ""arcus posterior atlantis""]"|posterior arch of atlas
uberon_0003850||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""neural crest telencephalon""]"|telencephalon neural crest
uberon_0010416||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""lymph node B cell dependent cortex"", ""lymph node B-cell domain"", ""nodular lymph node cortex""]"|lymph node B cell domain
uberon_2001125||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""Nieuwkoop center""]"|organizer inducing center
ro_0002321||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||ecologically related to
uberon_0005619||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""palatal shelves"", ""palatine shelf"", ""lateral palatine process"", ""palatal shelf"", ""secondary palatal shelf""]"|secondary palatal shelf
uberon_0012168||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""cord blood"", ""fetal blood"", ""umbilical cord blood""]"|umbilical cord blood
go_1900195||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""up regulation of oocyte maturation"", ""up-regulation of oocyte maturation"", ""upregulation of oocyte maturation""]"|positive regulation of oocyte maturation
uberon_0000072||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""respiratory tract"", ""subdivision of respiratory tract""]"|proximo-distal subdivision of respiratory tract
uberon_0035937||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""AF"", ""ARF"", ""arcuate fascicle"", ""arcuate fasciculus"", ""fibrae arcuatae cerebri"", ""arcuate fascicle"", ""cerebral arcuate fasciculus"", ""fasciculus arcuatus""]"|arcuate fasciculus
uberon_0003153||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||insect head capsule
go_0060592||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""mammary bud formation"", ""mammary sprout formation""]"|mammary gland formation
uberon_0005347||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||copula pyramidis
uberon_3010417||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||posterior palatine artery
uberon_0022243||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""occipital peduncle"", ""occipital thalamic peduncle"", ""pedunculus ventrocaudalis thalami"", ""posterior peduncle"", ""ventrocaudal thalamic peduncle""]"|posterior thalamic peduncle
uberon_0006253||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""intraretinal space"", ""intraretinal space of optic cup"", ""intraretinal space of retina"", ""retina intraretinal space""]"|embryonic intraretinal space
uberon_0016425||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||epiphyseal plate of radius
uberon_0009899||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||pole of cerebral hemisphere
uberon_0011104||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""fifth metacarpal bone epiphysis"", ""metacarpal 5 epiphysis""]"|epiphysis of fifth metacarpal bone
go_0061301||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||cerebellum vasculature morphogenesis
go_0007431||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||salivary gland development
uberon_2001877||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||neural arch 1
go_0002626||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""down regulation of T cell antigen processing and presentation"", ""down-regulation of T cell antigen processing and presentation"", ""downregulation of T cell antigen processing and presentation"", ""negative regulation of T lymphocyte antigen processing and presentation"", ""negative regulation of T-cell antigen processing and presentation"", ""negative regulation of T-lymphocyte antigen processing and presentation""]"|negative regulation of T cell antigen processing and presentation
